Postcode,Month,Capacity (kW)
2602,2013-10,55
2602,2013-11,84
2602,2013-12,14
2602,2014-01,17
2602,2014-02,16
2602,2014-03,21
2602,2014-04,5
2602,2014-05,26
2602,2014-06,25
2602,2014-07,14
2602,2014-08,21
2602,2014-09,24
2602,2014-10,91
2602,2014-11,29
2602,2014-12,39
2602,2015-01,65
2602,2015-02,32
2602,2015-03,38
2602,2015-04,28
2602,2015-05,48
2602,2015-06,28
2602,2015-07,80
2602,2015-08,46
2602,2015-09,40
2602,2015-10,24
2602,2015-11,32
2602,2015-12,16
2602,2016-01,51
2602,2016-02,57
2602,2016-03,25
2602,2016-04,10
2602,2016-05,39
2602,2016-06,12
2602,2016-07,26
2602,2016-08,39
2602,2016-09,9
2602,2016-10,49
2602,2016-11,23
2602,2016-12,143
2602,2017-01,52
2602,2017-02,24
2602,2017-03,36
2602,2017-04,27
2602,2017-05,136
2602,2017-06,68
2602,2017-07,29
2602,2017-08,77
2602,2017-09,62
2602,2017-10,96
2602,2017-11,148
2602,2017-12,64
2602,2018-01,126
2602,2018-02,74
2602,2018-03,109
2602,2018-04,37
2602,2018-05,144
2602,2018-06,105
2602,2018-07,155
2602,2018-08,117
2602,2018-09,107
2602,2018-10,89
2602,2018-11,166
2602,2018-12,102
2602,2019-01,46
2602,2019-02,110
2602,2019-03,98
2602,2019-04,104
2602,2019-05,119
2602,2019-06,101
2602,2019-07,71
2602,2019-08,121
2602,2019-09,97
2602,2019-10,286
2602,2019-11,117
2602,2019-12,248
2602,2020-01,72
2602,2020-02,135
2602,2020-03,116
2602,2020-04,136
2602,2020-05,240
2602,2020-06,220
2602,2020-07,282
2602,2020-08,294
2602,2020-09,203
2602,2020-10,189
2602,2020-11,227
2602,2020-12,318
2602,2021-01,229
2602,2021-02,269
2602,2021-03,300
2602,2021-04,445
2602,2021-05,302
2602,2021-06,272
2602,2021-07,203
2602,2021-08,176
2602,2021-09,132
2602,2021-10,264
2602,2021-11,399
2602,2021-12,376
2602,2022-01,282
2602,2022-02,299
2602,2022-03,376
2602,2022-04,306
2602,2022-05,538
2602,2022-06,442
2602,2022-07,220
2602,2022-08,412
2602,2022-09,440
2602,2022-10,477
2602,2022-11,462
2602,2022-12,668
2602,2023-01,432
2602,2023-02,579
2602,2023-03,469
2602,2023-04,594
2602,2023-05,400
2602,2023-06,292
2602,2023-07,509
2602,2023-08,486
2602,2023-09,492
2602,2023-10,391
2602,2023-11,460
2602,2023-12,441
2602,2024-01,222
2602,2024-02,290
2602,2024-03,180
2602,2024-04,222
2602,2024-05,308
