,DAILY_SOLAR_EXPOSURE,DATE
526,6.7,2011-06-11
527,6.0,2011-06-12
528,6.0,2011-06-13
529,4.4,2011-06-14
530,7.7,2011-06-15
531,6.2,2011-06-16
532,9.8,2011-06-17
533,10.1,2011-06-18
534,10.2,2011-06-19
535,10.1,2011-06-20
536,8.7,2011-06-21
537,10.3,2011-06-22
538,10.0,2011-06-23
539,10.2,2011-06-24
540,10.2,2011-06-25
541,10.5,2011-06-26
542,9.2,2011-06-27
543,8.3,2011-06-28
544,6.3,2011-06-29
545,5.7,2011-06-30
546,7.3,2011-07-01
547,9.8,2011-07-02
548,9.9,2011-07-03
549,5.5,2011-07-04
550,10.5,2011-07-05
551,10.0,2011-07-06
552,10.4,2011-07-07
553,10.9,2011-07-08
554,10.7,2011-07-09
555,10.8,2011-07-10
556,10.8,2011-07-11
557,11.0,2011-07-12
558,2.7,2011-07-13
559,10.8,2011-07-14
560,9.1,2011-07-15
561,7.2,2011-07-16
562,6.8,2011-07-17
563,9.2,2011-07-18
564,8.2,2011-07-19
565,6.3,2011-07-20
566,2.2,2011-07-21
567,3.2,2011-07-22
568,6.0,2011-07-23
569,8.5,2011-07-24
570,10.2,2011-07-25
571,10.8,2011-07-26
572,10.8,2011-07-27
573,12.2,2011-07-28
574,12.8,2011-07-29
575,12.8,2011-07-30
576,10.6,2011-07-31
577,12.9,2011-08-01
578,12.7,2011-08-02
579,10.2,2011-08-03
580,13.0,2011-08-04
581,12.5,2011-08-05
582,8.8,2011-08-06
583,8.1,2011-08-07
584,10.0,2011-08-08
585,9.6,2011-08-09
586,12.6,2011-08-10
587,10.9,2011-08-11
588,9.1,2011-08-12
589,12.3,2011-08-13
590,10.4,2011-08-14
591,11.0,2011-08-15
592,12.6,2011-08-16
593,5.0,2011-08-17
594,14.8,2011-08-18
595,7.1,2011-08-19
596,12.8,2011-08-20
597,12.3,2011-08-21
598,12.4,2011-08-22
599,11.3,2011-08-23
600,16.1,2011-08-24
601,17.1,2011-08-25
602,16.3,2011-08-26
603,9.8,2011-08-27
604,14.2,2011-08-28
605,16.3,2011-08-29
606,11.7,2011-08-30
607,16.2,2011-08-31
608,13.8,2011-09-01
609,8.9,2011-09-02
610,15.1,2011-09-03
611,16.9,2011-09-04
612,12.2,2011-09-05
613,17.3,2011-09-06
614,17.5,2011-09-07
615,7.1,2011-09-08
616,3.8,2011-09-09
617,14.3,2011-09-10
618,17.0,2011-09-11
619,17.8,2011-09-12
620,19.8,2011-09-13
621,19.5,2011-09-14
622,17.4,2011-09-15
623,16.4,2011-09-16
624,18.6,2011-09-17
625,19.3,2011-09-18
626,18.4,2011-09-19
627,19.1,2011-09-20
628,21.1,2011-09-21
629,21.2,2011-09-22
630,21.2,2011-09-23
631,5.1,2011-09-24
632,3.9,2011-09-25
633,15.9,2011-09-26
634,20.1,2011-09-27
635,7.6,2011-09-28
636,14.3,2011-09-29
637,20.6,2011-09-30
638,15.1,2011-10-01
639,9.5,2011-10-02
640,18.9,2011-10-03
641,13.5,2011-10-04
642,17.3,2011-10-05
643,10.1,2011-10-06
644,16.3,2011-10-07
645,11.4,2011-10-08
646,16.5,2011-10-09
647,21.9,2011-10-10
648,21.4,2011-10-11
649,23.8,2011-10-12
650,14.2,2011-10-13
651,3.0,2011-10-14
652,20.2,2011-10-15
653,26.4,2011-10-16
654,23.3,2011-10-17
655,22.0,2011-10-18
656,27.0,2011-10-19
657,27.5,2011-10-20
658,26.9,2011-10-21
659,25.5,2011-10-22
660,25.0,2011-10-23
661,26.2,2011-10-24
662,3.5,2011-10-25
663,6.3,2011-10-26
664,8.2,2011-10-27
665,19.9,2011-10-28
666,13.3,2011-10-29
667,21.1,2011-10-30
668,23.1,2011-10-31
669,19.6,2011-11-01
670,25.4,2011-11-02
671,6.2,2011-11-03
672,21.7,2011-11-04
673,29.5,2011-11-05
674,20.3,2011-11-06
675,21.8,2011-11-07
676,19.9,2011-11-08
677,21.7,2011-11-09
678,13.3,2011-11-10
679,26.9,2011-11-11
680,25.4,2011-11-12
681,19.5,2011-11-13
682,25.2,2011-11-14
683,30.1,2011-11-15
684,4.5,2011-11-16
685,3.7,2011-11-17
686,26.1,2011-11-18
687,27.4,2011-11-19
688,16.3,2011-11-20
689,10.5,2011-11-21
690,2.3,2011-11-22
691,2.8,2011-11-23
692,3.7,2011-11-24
693,2.7,2011-11-25
694,16.7,2011-11-26
695,31.0,2011-11-27
696,31.6,2011-11-28
697,25.2,2011-11-29
698,13.5,2011-11-30
699,22.8,2011-12-01
700,18.6,2011-12-02
701,32.9,2011-12-03
702,12.1,2011-12-04
703,19.1,2011-12-05
704,8.8,2011-12-06
705,16.4,2011-12-07
706,11.6,2011-12-08
707,16.9,2011-12-09
708,15.9,2011-12-10
709,14.8,2011-12-11
710,6.5,2011-12-12
711,18.5,2011-12-13
712,22.3,2011-12-14
713,24.6,2011-12-15
714,12.6,2011-12-16
715,22.6,2011-12-17
716,20.2,2011-12-18
717,7.6,2011-12-19
718,18.2,2011-12-20
719,13.9,2011-12-21
720,9.8,2011-12-22
721,18.5,2011-12-23
722,28.8,2011-12-24
723,28.9,2011-12-25
724,14.4,2011-12-26
725,20.8,2011-12-27
726,28.2,2011-12-28
727,29.5,2011-12-29
728,25.6,2011-12-30
729,22.8,2011-12-31
730,33.9,2012-01-01
731,32.7,2012-01-02
732,32.1,2012-01-03
733,22.3,2012-01-04
734,21.7,2012-01-05
735,11.9,2012-01-06
736,32.5,2012-01-07
737,16.3,2012-01-08
738,31.8,2012-01-09
739,31.5,2012-01-10
740,32.7,2012-01-11
741,33.0,2012-01-12
742,32.2,2012-01-13
743,7.4,2012-01-14
744,20.1,2012-01-15
745,21.3,2012-01-16
746,32.0,2012-01-17
747,29.7,2012-01-18
748,26.8,2012-01-19
749,21.7,2012-01-20
750,12.0,2012-01-21
751,19.3,2012-01-22
752,24.7,2012-01-23
753,12.2,2012-01-24
754,7.7,2012-01-25
755,17.1,2012-01-26
756,14.2,2012-01-27
757,19.2,2012-01-28
758,23.1,2012-01-29
759,25.4,2012-01-30
760,15.8,2012-01-31
761,4.1,2012-02-01
762,3.0,2012-02-02
763,6.1,2012-02-03
764,24.2,2012-02-04
765,29.5,2012-02-05
766,23.8,2012-02-06
767,5.0,2012-02-07
768,6.9,2012-02-08
769,11.7,2012-02-09
770,19.1,2012-02-10
771,16.3,2012-02-11
772,20.3,2012-02-12
773,14.7,2012-02-13
774,20.5,2012-02-14
775,21.3,2012-02-15
776,27.2,2012-02-16
777,18.0,2012-02-17
778,22.0,2012-02-18
779,26.4,2012-02-19
780,17.8,2012-02-20
781,22.4,2012-02-21
782,21.9,2012-02-22
783,26.9,2012-02-23
784,27.3,2012-02-24
785,26.5,2012-02-25
786,12.1,2012-02-26
787,18.3,2012-02-27
788,13.2,2012-02-28
789,3.5,2012-02-29
790,4.4,2012-03-01
791,2.5,2012-03-02
792,3.1,2012-03-03
793,14.7,2012-03-04
794,25.7,2012-03-05
795,18.5,2012-03-06
796,11.8,2012-03-07
797,5.2,2012-03-08
798,23.9,2012-03-09
799,23.4,2012-03-10
800,23.6,2012-03-11
801,12.7,2012-03-12
802,22.9,2012-03-13
803,21.8,2012-03-14
804,17.6,2012-03-15
805,20.3,2012-03-16
806,2.7,2012-03-17
807,14.7,2012-03-18
808,7.8,2012-03-19
809,7.7,2012-03-20
810,16.5,2012-03-21
811,2.2,2012-03-22
812,22.9,2012-03-23
813,22.9,2012-03-24
814,10.0,2012-03-25
815,15.7,2012-03-26
816,14.5,2012-03-27
817,3.9,2012-03-28
818,12.8,2012-03-29
819,15.4,2012-03-30
820,19.0,2012-03-31
821,17.7,2012-04-01
822,17.7,2012-04-02
823,18.8,2012-04-03
824,18.6,2012-04-04
825,16.2,2012-04-05
826,17.7,2012-04-06
827,19.2,2012-04-07
828,7.3,2012-04-08
829,19.6,2012-04-09
830,16.6,2012-04-10
831,14.9,2012-04-11
832,16.6,2012-04-12
833,17.7,2012-04-13
834,15.1,2012-04-14
835,13.0,2012-04-15
836,14.3,2012-04-16
837,5.8,2012-04-17
838,2.9,2012-04-18
839,9.0,2012-04-19
840,15.3,2012-04-20
841,12.8,2012-04-21
842,8.6,2012-04-22
843,2.9,2012-04-23
844,12.4,2012-04-24
845,15.1,2012-04-25
846,13.1,2012-04-26
847,14.7,2012-04-27
848,12.0,2012-04-28
849,8.5,2012-04-29
850,9.1,2012-04-30
851,14.7,2012-05-01
852,14.8,2012-05-02
853,15.0,2012-05-03
854,15.3,2012-05-04
855,13.0,2012-05-05
856,15.2,2012-05-06
857,9.0,2012-05-07
858,13.5,2012-05-08
859,13.5,2012-05-09
860,13.3,2012-05-10
861,10.3,2012-05-11
862,11.7,2012-05-12
863,12.8,2012-05-13
864,11.4,2012-05-14
865,12.5,2012-05-15
866,12.0,2012-05-16
867,12.3,2012-05-17
868,12.2,2012-05-18
869,11.8,2012-05-19
870,9.6,2012-05-20
871,11.5,2012-05-21
872,11.6,2012-05-22
873,11.5,2012-05-23
874,3.8,2012-05-24
875,7.2,2012-05-25
876,10.7,2012-05-26
877,10.2,2012-05-27
878,10.7,2012-05-28
879,6.1,2012-05-29
880,9.2,2012-05-30
881,9.0,2012-05-31
882,8.0,2012-06-01
883,4.7,2012-06-02
884,3.0,2012-06-03
885,10.2,2012-06-04
886,6.1,2012-06-05
887,5.9,2012-06-06
888,10.7,2012-06-07
889,10.6,2012-06-08
890,10.6,2012-06-09
891,5.8,2012-06-10
892,2.5,2012-06-11
893,7.5,2012-06-12
894,7.1,2012-06-13
895,9.2,2012-06-14
896,8.2,2012-06-15
897,2.8,2012-06-16
898,10.2,2012-06-17
899,10.2,2012-06-18
900,10.1,2012-06-19
901,10.0,2012-06-20
902,5.3,2012-06-21
903,3.9,2012-06-22
904,10.1,2012-06-23
905,10.1,2012-06-24
906,10.2,2012-06-25
907,4.0,2012-06-26
908,9.2,2012-06-27
909,8.3,2012-06-28
910,9.3,2012-06-29
911,9.5,2012-06-30
912,8.5,2012-07-01
913,10.0,2012-07-02
914,10.2,2012-07-03
915,9.9,2012-07-04
916,8.0,2012-07-05
917,8.2,2012-07-06
918,5.5,2012-07-07
919,10.5,2012-07-08
920,10.7,2012-07-09
921,7.1,2012-07-10
922,11.0,2012-07-11
923,3.6,2012-07-12
924,10.1,2012-07-13
925,10.9,2012-07-14
926,11.3,2012-07-15
927,11.4,2012-07-16
928,11.5,2012-07-17
929,11.3,2012-07-18
930,8.9,2012-07-19
931,11.8,2012-07-20
932,6.2,2012-07-21
933,9.4,2012-07-22
934,5.5,2012-07-23
935,5.4,2012-07-24
936,10.8,2012-07-25
937,4.8,2012-07-26
938,12.2,2012-07-27
939,12.3,2012-07-28
940,10.2,2012-07-29
941,12.8,2012-07-30
942,9.9,2012-07-31
943,11.5,2012-08-01
944,13.1,2012-08-02
945,10.9,2012-08-03
946,13.1,2012-08-04
947,12.0,2012-08-05
948,13.7,2012-08-06
949,13.9,2012-08-07
950,14.1,2012-08-08
951,13.5,2012-08-09
952,8.8,2012-08-10
953,10.4,2012-08-11
954,9.5,2012-08-12
955,14.9,2012-08-13
956,11.1,2012-08-14
957,10.1,2012-08-15
958,15.2,2012-08-16
959,13.1,2012-08-17
960,14.7,2012-08-18
961,15.2,2012-08-19
962,16.2,2012-08-20
963,16.6,2012-08-21
964,14.5,2012-08-22
965,12.5,2012-08-23
966,17.1,2012-08-24
967,17.3,2012-08-25
968,17.2,2012-08-26
969,17.3,2012-08-27
970,16.5,2012-08-28
971,12.5,2012-08-29
972,17.4,2012-08-30
973,15.3,2012-08-31
974,13.1,2012-09-01
975,17.3,2012-09-02
976,17.6,2012-09-03
977,17.6,2012-09-04
978,18.0,2012-09-05
979,18.2,2012-09-06
980,14.1,2012-09-07
981,18.8,2012-09-08
982,19.0,2012-09-09
983,19.1,2012-09-10
984,16.6,2012-09-11
985,19.0,2012-09-12
986,8.7,2012-09-13
987,20.3,2012-09-14
988,18.5,2012-09-15
989,20.3,2012-09-16
990,16.1,2012-09-17
991,14.5,2012-09-18
992,19.8,2012-09-19
993,19.7,2012-09-20
994,11.6,2012-09-21
995,21.9,2012-09-22
996,22.4,2012-09-23
997,22.8,2012-09-24
998,15.1,2012-09-25
999,18.6,2012-09-26
1000,19.6,2012-09-27
1001,16.2,2012-09-28
1002,19.3,2012-09-29
1003,24.0,2012-09-30
1004,21.7,2012-10-01
1005,21.3,2012-10-02
1006,23.5,2012-10-03
1007,24.0,2012-10-04
1008,24.2,2012-10-05
1009,3.5,2012-10-06
1010,24.8,2012-10-07
1011,16.0,2012-10-08
1012,20.8,2012-10-09
1013,25.6,2012-10-10
1014,9.9,2012-10-11
1015,7.7,2012-10-12
1016,21.4,2012-10-13
1017,22.2,2012-10-14
1018,26.8,2012-10-15
1019,24.7,2012-10-16
1020,26.7,2012-10-17
1021,17.6,2012-10-18
1022,23.7,2012-10-19
1023,26.9,2012-10-20
1024,13.9,2012-10-21
1025,20.8,2012-10-22
1026,23.7,2012-10-23
1027,27.6,2012-10-24
1028,27.6,2012-10-25
1029,5.6,2012-10-26
1030,27.2,2012-10-27
1031,17.6,2012-10-28
1032,27.2,2012-10-29
1033,27.7,2012-10-30
1034,28.7,2012-10-31
1035,11.1,2012-11-01
1036,28.4,2012-11-02
1037,6.0,2012-11-03
1038,25.4,2012-11-04
1039,26.2,2012-11-05
1040,22.8,2012-11-06
1041,5.6,2012-11-07
1042,20.2,2012-11-08
1043,18.5,2012-11-09
1044,14.1,2012-11-10
1045,29.9,2012-11-11
1046,29.5,2012-11-12
1047,27.9,2012-11-13
1048,11.3,2012-11-14
1049,21.6,2012-11-15
1050,2.4,2012-11-16
