,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
30,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-31,32527.84534251331,13143.76,9793.73751521789,11421.04036465567,8166.434665780111,2020-01-31 03:00:00,2020-01-31 04:30:00,11311.9,8538.732017482107,9763.605008056691,7933.472024476651,2020-01-31 12:00:00,2020-01-31 09:30:00,5036526.360664235,-0.1987139234172708,1853.815633588476,0.16245927037444352
31,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-01,,13634.63,-46524.84523830842,168682032728.64764,-124474796745.12033,2020-02-01 05:00:00,2020-02-01 09:00:00,12047.17,40893.347674161196,122085535691.48322,-27695219539.413956,2020-02-01 12:00:00,2020-02-01 10:00:00,11320310774.513906,-2217.4173967571273,92148.52597987656,9.56658928714362
32,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-02,32591.54317847713,10938.26,11044.438060497092,12272.165288016768,9817.352975182,2020-02-02 02:30:00,2020-02-02 05:00:00,10478.02,10110.528292140647,11227.180407568529,9478.243896763763,2020-02-02 12:00:00,2020-02-02 12:00:00,346145.8668582349,0.7032153264048586,464.6991206058335,0.0518064603387598
33,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-03,32414.08936612192,10741.33,10626.769293075624,12145.057587578018,9108.48099857323,2020-02-03 04:00:00,2020-02-03 04:30:00,9250.51,9026.242642988334,10309.218069452914,7743.267216523755,2020-02-03 08:30:00,2020-02-03 12:00:00,326736.63883749576,0.7843703996804131,431.25402828704074,0.050258968449645246
34,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-04,32433.20140240183,8166.43,9802.171426959416,11301.370230346976,8302.972623571855,2020-02-04 05:30:00,2020-02-04 04:30:00,7916.85,8504.518214537085,9775.705704270016,7233.330724804155,2020-02-04 07:30:00,2020-02-04 12:00:00,817088.1831189346,-1.4145785648592208,766.5863523639523,0.10044749267124896
35,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-05,34762.849090894975,8698.81,8895.797477592969,11681.155082986777,6112.224277733878,2020-02-05 04:30:00,2020-02-05 04:30:00,7888.7,8026.759800055384,10310.850245755497,6669.840816313921,2020-02-05 12:00:00,2020-02-05 10:00:00,19290.548682415556,0.9692458368941753,120.22104435419404,0.015509978845332237
36,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-06,33030.214652694594,8592.13,9066.393822612608,10865.224605106041,7283.179224386554,2020-02-06 05:00:00,2020-02-06 04:30:00,8540.97,8442.342176984057,9958.71927966129,6925.965074306823,2020-02-06 09:30:00,2020-02-06 12:00:00,141120.98257729245,0.7802386214852783,318.8836029382436,0.040341742719540524
37,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-07,32508.845671444757,8201.16,9276.304180412293,10843.740326876763,7738.88141215826,2020-02-07 00:00:00,2020-02-07 04:30:00,8552.26,8323.704906730258,9621.386852627826,7026.02296083269,2020-02-07 08:30:00,2020-02-07 12:00:00,374852.97565409326,0.3122898983729099,518.048473093363,0.06534085307064498
38,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-08,32470.152170503254,7873.51,9022.933052336559,10556.230937931286,7489.635166741831,2020-02-08 05:30:00,2020-02-08 04:30:00,7712.86,8107.271870005754,9401.278433396945,6836.020702126549,2020-02-08 09:30:00,2020-02-08 12:00:00,529765.4730474545,-0.4617317235198961,586.444936668072,0.07985621047298605
39,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-09,32634.153049565957,7920.61,7954.468537886866,9453.718309739415,6455.218766034317,2020-02-09 05:30:00,2020-02-09 04:30:00,7713.81,7269.166264249304,8550.771271823505,6175.310088716108,2020-02-09 09:30:00,2020-02-09 12:00:00,108004.29329809827,0.7828475492076322,291.42991850089214,0.04214956265897577
40,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-10,32559.188956011447,9346.36,9428.226921574284,10708.778895029338,8156.715246243763,2020-02-10 04:30:00,2020-02-10 04:30:00,8325.51,8245.388547302206,9387.527896138736,7103.249198465675,2020-02-10 10:00:00,2020-02-10 12:00:00,60870.15419664213,0.9464841054494343,207.56899492802782,0.02691013362983663
41,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-11,32566.158686261933,10020.15,9880.56970633988,11197.670028499102,8563.469384180658,2020-02-11 04:30:00,2020-02-11 04:30:00,8605.99,8674.445274012996,9841.63835094426,7507.2521970817315,2020-02-11 12:00:00,2020-02-11 12:00:00,41055.75258892973,0.9675847730789224,177.75053219631639,0.022353812503307424
42,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-12,32552.238431592526,9397.17,9526.374912920643,11013.691917979178,8039.057907862107,2020-02-12 04:30:00,2020-02-12 04:30:00,8879.56,8647.68717277289,9920.707138229947,7374.667207315833,2020-02-12 11:00:00,2020-02-12 12:00:00,53722.37841677849,0.9370840057675339,182.02453815486732,0.021636261225642762
43,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-13,32272.349437195295,9502.26,9561.92475852399,10837.446505164486,8286.403011883494,2020-02-13 04:30:00,2020-02-13 04:30:00,9178.99,8702.154230957884,9830.687122296442,7573.621339619325,2020-02-13 11:30:00,2020-02-13 12:00:00,164137.4256599201,0.8386093883521576,286.6970094016021,0.03298961728085012
44,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-14,32425.521093746833,9197.97,9495.543570699194,11018.193528573487,7972.8936128249015,2020-02-14 04:30:00,2020-02-14 04:30:00,8526.99,8702.311043076215,9988.583528965239,7439.518409055109,2020-02-14 09:00:00,2020-02-14 12:00:00,87360.64785092555,0.8573680778152509,234.27138791809398,0.02806001002101924
45,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-15,32714.336744553828,8881.07,9079.06994031382,10747.596961347663,7410.542919279978,2020-02-15 05:30:00,2020-02-15 04:30:00,7593.58,8086.004757207513,9493.354725159124,6738.602587184865,2020-02-15 12:00:00,2020-02-15 12:00:00,129128.89205788464,0.7835436584904958,292.69311037180546,0.040492139941441956
46,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-16,32281.712404363698,8594.98,8936.613559053523,10416.820856737077,7456.40626136997,2020-02-16 05:00:00,2020-02-16 04:30:00,7416.78,8180.6158697658175,9431.173410910375,6933.655429302452,2020-02-16 12:00:00,2020-02-16 12:00:00,249082.76133859542,0.5908108615913679,384.5538154208554,0.052705328695760896
47,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-17,32416.720570909758,9255.9,9445.872949262952,10755.230896072771,8136.515002453132,2020-02-17 04:30:00,2020-02-17 04:30:00,8960.3,8584.964913649095,9697.534023734219,7515.153872054914,2020-02-17 11:00:00,2020-02-17 11:00:00,58308.82824185851,0.9389817402385502,213.54992300487797,0.026577605711150105
48,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-18,,11079.33,266404.45010747947,834482597031.1283,-614220698405.6344,2020-02-18 04:00:00,2020-02-18 09:30:00,8995.53,135278.28565762285,602297793071.2394,-121079419734.07265,2020-02-18 12:00:00,2020-02-18 07:00:00,27410891574.829205,-12842.402560030041,132312.5142075928,14.679023658575913
49,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-19,32169.011889509977,9104.13,9589.039956245739,11050.501209428565,8127.5787030629135,2020-02-19 05:30:00,2020-02-19 04:30:00,8023.3,8467.558540767135,9706.675455066412,7228.4416264678575,2020-02-19 07:30:00,2020-02-19 12:00:00,169982.521724536,0.7583109500650875,324.7513635025919,0.04003829715847252
50,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-20,32177.934025602208,8722.59,8922.881294348394,10395.890630429993,7449.8719582667945,2020-02-20 05:30:00,2020-02-20 04:30:00,7923.32,7897.113167984246,9140.407584803954,6755.108494746683,2020-02-20 07:00:00,2020-02-20 12:00:00,178362.1101930545,0.6115547906188292,344.57778755880264,0.046933757675224674
51,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-21,31655.793301271126,8413.87,9167.86939745722,10495.232381715352,7853.854138697734,2020-02-21 04:00:00,2020-02-21 05:00:00,8156.79,8220.413010856078,9350.427644555524,7104.992606274702,2020-02-21 07:30:00,2020-02-21 12:00:00,142404.49002884395,0.6654247477778168,283.36108483201133,0.03537153094247205
52,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-22,31759.797041828,7801.96,8139.716528261461,9588.89351818279,6699.403355915348,2020-02-22 06:30:00,2020-02-22 05:00:00,7459.01,7412.307762970866,8588.549706879312,6681.257972875503,2020-02-22 09:30:00,2020-02-22 08:30:00,67273.21506130775,0.7418312490870704,210.86407811550725,0.029408344853316976
53,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-23,31792.203670924577,8139.82,8547.876737827193,9876.197007843311,7219.556467811075,2020-02-23 07:00:00,2020-02-23 04:30:00,7230.13,7661.4950650685705,8753.445305432153,6722.864717158,2020-02-23 12:00:00,2020-02-23 10:00:00,182755.087421532,0.5294690399902566,338.79283135114474,0.04717055544497247
54,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-24,31813.576124524672,9418.22,9181.302193710791,10640.63319017582,7730.330174885705,2020-02-24 04:30:00,2020-02-24 05:30:00,8379.59,8369.692860045916,9566.131456791656,7177.467052850547,2020-02-24 08:30:00,2020-02-24 12:00:00,37294.41589965292,0.9621204218897194,164.14564689531164,0.021050656596436235
55,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-25,31954.666110908653,10252.21,10028.572114336479,11429.801657243845,8627.342571429113,2020-02-25 04:30:00,2020-02-25 04:30:00,8575.2,8782.12165139095,9974.047897232118,7590.195405549781,2020-02-25 12:00:00,2020-02-25 12:00:00,19007.60284594379,0.984919920040959,118.73259887784737,0.01426208387359447
56,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-26,31688.92822285924,10196.1,9582.039710236815,10953.178175427116,8240.000074528225,2020-02-26 04:30:00,2020-02-26 04:30:00,9456.92,8695.610159131902,9837.575281439393,7553.645036824412,2020-02-26 12:00:00,2020-02-26 12:00:00,140909.58966549693,0.8965504757715456,312.0025885015463,0.035229711163338236
