,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
22,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-23,30760.40154545887,13330.14,11099.823499953181,12199.32246731682,10000.324532589542,2020-01-23 04:30:00,2020-01-23 04:30:00,11712.42,9627.931188466435,10578.820247613477,8677.042129319392,2020-01-23 12:00:00,2020-01-23 12:00:00,2644659.9312629267,0.49954953153506265,1339.9655113698311,0.11663863571396964
23,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-24,30852.916434153554,10052.6,10598.038940305036,11753.999762987376,9442.078117622696,2020-01-24 04:30:00,2020-01-24 04:30:00,9493.3,9676.027268608837,10629.315830000816,9043.167013590903,2020-01-24 09:30:00,2020-01-24 11:00:00,251808.13907463607,0.43872444642804365,428.3162759312269,0.04765678848111755
24,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-25,30867.70991178032,9861.13,9751.260856049908,10928.881545822842,8573.640166276975,2020-01-25 05:30:00,2020-01-25 04:30:00,8455.7,8904.157454935576,9908.596780942402,7925.95222070323,2020-01-25 12:00:00,2020-01-25 12:00:00,153486.3796843343,0.8564261538657229,309.6931844009588,0.039364660376106565
25,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-26,30810.743871345167,10840.67,10116.540948550322,11276.773334418072,8956.308562682572,2020-01-26 05:30:00,2020-01-26 04:30:00,9536.49,8983.734080191462,9975.444175479804,7992.023984903119,2020-01-26 12:00:00,2020-01-26 12:00:00,285455.6936434773,0.8660232948816383,464.69171301788964,0.05128267231337216
26,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-27,32016.812181084188,11056.05,10649.914898682095,12243.683348122308,9056.146449241882,2020-01-27 05:30:00,2020-01-27 04:30:00,8791.17,9239.088142076376,10583.079849023492,7895.096435129261,2020-01-27 12:00:00,2020-01-27 12:00:00,127106.49373785581,0.935856989187166,278.4848900299628,0.032719518000954656
27,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-28,30834.674569248487,12349.85,10183.019398160915,11387.444843751386,8998.440149632655,2020-01-28 04:00:00,2020-01-28 05:30:00,10699.19,8960.993556505899,9962.518548088301,7959.468564923496,2020-01-28 12:00:00,2020-01-28 12:00:00,1811153.073219403,0.44316886537710454,1085.0194715327577,0.10141827413777815
28,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-29,31131.436685423057,10778.14,10607.30792332785,11693.037481666413,9531.249585719226,2020-01-29 04:30:00,2020-01-29 04:30:00,9477.21,9229.760047859765,10177.27292976316,8282.24716595637,2020-01-29 12:00:00,2020-01-29 12:00:00,72239.94759005257,0.9450457935551484,230.74457089832927,0.025851538946021737
29,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-30,31240.161408722848,11979.43,10723.237540103952,11933.599734020409,9512.875346187495,2020-01-30 04:30:00,2020-01-30 04:30:00,9472.85,9205.535124508107,10244.953791490685,8166.11645752553,2020-01-30 12:00:00,2020-01-30 12:00:00,434670.6330559338,0.8446712076936722,547.4994443758593,0.055516977772597946
30,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-31,31166.365937408587,13143.76,10809.086723293312,12066.461146821372,9551.712299765253,2020-01-31 03:00:00,2020-01-31 04:30:00,11311.9,9306.486807623201,10369.064023005983,8243.90959224042,2020-01-31 12:00:00,2020-01-31 12:00:00,2553334.195652766,0.39229599285513317,1324.2154145451375,0.1162651110136911
31,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-01,31310.412197362934,13634.63,12425.42257894645,13709.786991214498,11141.058166678404,2020-02-01 05:00:00,2020-02-01 04:30:00,12047.17,11048.70217566389,12133.727161791188,9963.677189536591,2020-02-01 12:00:00,2020-02-01 12:00:00,906663.444358551,0.8223230794602355,844.0626360432908,0.07551304397958916
32,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-02,31535.941176455326,10938.26,12202.894759088616,13568.940959154846,10864.260921125739,2020-02-02 02:30:00,2020-02-02 04:30:00,10478.02,10888.498136891103,12018.039556913662,9758.956716868544,2020-02-02 12:00:00,2020-02-02 12:00:00,1662282.5728254362,-0.42523727143313783,1119.117416642829,0.12307221808488515
33,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-03,31585.87201940308,10741.33,10635.37786027162,12008.540025822882,9262.215694720357,2020-02-03 04:00:00,2020-02-03 04:30:00,9250.51,9283.878799664351,10441.225138368043,8126.5324609606605,2020-02-03 08:30:00,2020-02-03 12:00:00,394216.4140353931,0.7398371725304117,501.04132562593713,0.05848936653367078
34,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-04,32270.60770087801,8166.43,9971.52274313802,11425.130208846833,8517.915277429209,2020-02-04 05:30:00,2020-02-04 04:00:00,7916.85,8955.58894182274,10199.460707003862,7711.717176641618,2020-02-04 07:30:00,2020-02-04 12:00:00,1033892.4710877406,-2.0552572545213454,782.2318708498657,0.10074176657034693
35,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-05,31425.841426507734,8698.81,9483.772405813186,10803.389033053068,8164.155778573303,2020-02-05 04:30:00,2020-02-05 04:30:00,7888.7,8127.800294245488,9242.40821425675,7013.192374234227,2020-02-05 12:00:00,2020-02-05 12:00:00,161186.7417254257,0.7430263168180944,329.4397660060249,0.041555397955023256
36,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-06,31503.059874886258,8592.13,9466.494252448305,10830.569026320281,8102.419478576328,2020-02-06 05:00:00,2020-02-06 04:30:00,8540.97,8384.551582954384,9534.357197022355,7234.745968886412,2020-02-06 09:30:00,2020-02-06 12:00:00,219913.0785217604,0.6575392233901952,389.68314903852644,0.048226627471598504
37,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-07,31460.754827389017,8201.16,9397.223195924173,10732.621150569325,8061.82524127902,2020-02-07 00:00:00,2020-02-07 04:30:00,8552.26,8393.789118954497,9521.620183585948,7265.958054323046,2020-02-07 08:30:00,2020-02-07 12:00:00,422682.58964569797,0.22454107193887918,559.8880670021127,0.0714419886542698
