,label,value,std_error,z_score,p_value,significance,eval_date
8,solar_power,-0.7079643424489603,0.07781273095744703,-9.098309926124047,0.0,***,2020-10-22
12,solar_16,0.18640481215748195,0.06590814757782268,2.828251422745266,0.0046803032869919825,**,2020-10-23
13,lag_48*7,0.24412091805274727,0.02321750616948754,10.514519357534235,0.0,***,2020-10-23
14,sin_336_1,17.083529781883932,0.6266431245284242,27.261975936846063,0.0,***,2020-10-23
11,solar_4,-0.8649416509933143,0.0854752845843523,-10.119201769252214,0.0,***,2020-10-23
16,temperature^2,0.43532948187097215,0.04570149502525002,9.525497615131696,0.0,***,2020-10-23
17,temp_1^2,0.6062779892255978,0.03997059240548763,15.168101164854413,0.0,***,2020-10-23
18,temp_9^2,-0.10704551905485167,0.040888252739758775,-2.6180017947003913,0.00884463399401958,**,2020-10-23
15,cos_336_1,3.579241155145419,0.16163584259712754,22.1438580554597,0.0,***,2020-10-23
10,temp_9,3.7636251940188004,0.33064969030828334,11.382515406289238,0.0,***,2020-10-23
9,temp_1,-23.715260783867745,0.2586858916759777,-91.67589554351413,0.0,***,2020-10-23
8,solar_power,-0.6926081667626676,0.07681923335371198,-9.016077569709307,0.0,***,2020-10-23
1,ma1,0.37131410124657693,0.018704535641065487,19.85155410281147,0.0,***,2020-10-23
2,sar1,0.9914017287627017,0.0015394185424561575,644.0105152825497,0.0,***,2020-10-23
3,sma1,-0.8072061777348505,0.017638134416299127,-45.76482742919363,0.0,***,2020-10-23
0,ar1,0.9704042092563608,0.00342688304477709,283.1740087352421,0.0,***,2020-10-23
5,rainfall,2.149463853310621,0.34108403035746154,6.3018601341667875,2.9409452650952517e-10,***,2020-10-23
6,pv_capacity,3.8839912801362857,0.3340322755429552,11.627592794208354,0.0,***,2020-10-23
7,temperature,-20.651965602825157,0.47252556010448693,-43.70549944061969,0.0,***,2020-10-23
4,intercept,3430.27544188671,0.024264086019493532,141372.53878554748,0.0,***,2020-10-23
11,solar_4,-0.8483029499498618,0.07759863064140608,-10.931931954701444,0.0,***,2020-10-24
18,temp_9^2,-0.03319820886295002,0.04154786038822707,-0.7990353426805344,0.42426991895023036,,2020-10-24
17,temp_1^2,0.6577521585651768,0.04752257398704042,13.840836120209907,0.0,***,2020-10-24
16,temperature^2,0.530611679541897,0.042272232745516315,12.552251089651216,0.0,***,2020-10-24
15,cos_336_1,4.598511238523261,0.1076627727543319,42.71217544263215,0.0,***,2020-10-24
14,sin_336_1,16.325102312776885,0.8761000358243293,18.633833632270623,0.0,***,2020-10-24
13,lag_48*7,0.24759150001025,0.01647254501825728,15.03055537173114,0.0,***,2020-10-24
12,solar_16,0.18603396493442048,0.07736546126617048,2.40461262545031,0.016189616742168456,*,2020-10-24
10,temp_9,1.3991317084196684,0.02462575943623679,56.8157791049013,0.0,***,2020-10-24
9,temp_1,-26.329276750928283,0.7821583965447702,-33.66233344452912,0.0,***,2020-10-24
8,solar_power,-0.6670865206134593,0.07635676243904785,-8.73644323442818,0.0,***,2020-10-24
1,ma1,0.3701360576536631,0.01697255056494556,21.807921928842422,0.0,***,2020-10-24
2,sar1,0.9920449559820738,0.0017882541811158877,554.7561227358788,0.0,***,2020-10-24
3,sma1,-0.8206305384900302,0.015489579119283612,-52.97952463204075,0.0,***,2020-10-24
0,ar1,0.9697919228490166,0.003878415930146625,250.04845800856464,0.0,***,2020-10-24
5,rainfall,2.155037349924612,0.7414258768379208,2.9066119989169374,0.003653660774008305,**,2020-10-24
6,pv_capacity,5.57222741705165,0.43939176625680215,12.681683738686552,0.0,***,2020-10-24
7,temperature,-24.679113069513832,0.3560288602111179,-69.31773186836487,0.0,***,2020-10-24
4,intercept,2365.5535230253463,0.020953624844834172,112894.71585669536,0.0,***,2020-10-24
10,temp_9,15.896715431196185,0.019288451157686036,824.1571757751883,0.0,***,2020-10-25
17,temp_1^2,2.046121612228306,0.020622320765078018,99.21878509877621,0.0,***,2020-10-25
16,temperature^2,-0.7828515744912521,0.019443450299697917,-40.262996660804326,0.0,***,2020-10-25
15,cos_336_1,1.255691909962662,0.019288368094742485,65.10099267054798,0.0,***,2020-10-25
14,sin_336_1,34.64535704650361,0.019308774714239807,1794.2804532777218,0.0,***,2020-10-25
13,lag_48*7,0.23955887372439388,0.020171832703253453,11.875910198568928,0.0,***,2020-10-25
12,solar_16,0.18236878984050553,0.019321319010283652,9.4387339572128,0.0,***,2020-10-25
11,solar_4,-0.7846446790376447,0.020419158361423946,-38.426886414672325,0.0,***,2020-10-25
9,temp_1,-81.4055003058883,0.01932037344202454,-4213.453769419376,0.0,***,2020-10-25
18,temp_9^2,-0.3923358332231443,0.019496597924856703,-20.123297138058405,0.0,***,2020-10-25
7,temperature,26.547541607937546,0.019318323203507667,1374.2156256665824,0.0,***,2020-10-25
