,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
67,2020-03-08,-16972.620674885755,8.94803880554313,8.981488297242537,9.160711127918615,8.802265466566459,2020-03-08 07:00:00,2020-03-08 05:30:00,8.829996077450184,8.94866517516678,9.101767218544298,8.802712436493026,2020-03-08 08:30:00,2020-03-08 10:00:00,0.008285102817913071,-0.22630520460185077,0.07453152414372648,0.00846575007486119
68,2020-03-09,-16965.699986413605,9.014559037417785,8.957655740415886,9.14223629055682,8.77395569738273,2020-03-09 05:30:00,2020-03-09 06:30:00,8.96515952334961,8.890195262595457,9.043146220357892,8.755687574205517,2020-03-09 08:00:00,2020-03-09 09:30:00,0.0036264376236257684,0.6584102636621905,0.05412295651823662,0.006079316575316671
69,2020-03-10,-16950.329479265176,9.03523312932516,9.002758468964073,9.185812142075102,8.820492019444849,2020-03-10 06:30:00,2020-03-10 05:30:00,8.989678738155103,8.962882173157851,9.110100752457376,8.834229343815757,2020-03-10 07:00:00,2020-03-10 08:30:00,0.0005767206758276877,0.9345872727095361,0.020180245631869115,0.00226037523310832
70,2020-03-11,-16940.685083890206,9.049012497596452,8.998721251160006,9.182505897363681,8.814936604956332,2020-03-11 06:30:00,2020-03-11 06:30:00,8.990105087551147,8.929885382915382,9.076762139550418,8.832410985955402,2020-03-11 07:00:00,2020-03-11 08:00:00,0.0014553390134116296,0.8300277846599213,0.03335998265103398,0.003732350774740895
71,2020-03-12,-16949.466717230254,9.063339239781474,9.037762199590283,9.221196388889087,8.854391430142734,2020-03-12 06:30:00,2020-03-12 06:30:00,8.998338273530743,8.971819619128954,9.11232130663945,8.858149324300472,2020-03-12 07:00:00,2020-03-12 07:30:00,0.00022232256969932068,0.9749990622994666,0.012440987895741218,0.0013925717545566478
72,2020-03-13,-16998.294261007013,9.023534776892165,9.061158917083441,9.244526755675006,8.878285662579234,2020-03-13 05:30:00,2020-03-13 06:30:00,8.986158782086301,9.017104534506657,9.154123753602121,8.880085315411193,2020-03-13 07:00:00,2020-03-13 07:00:00,0.0015236078373019688,0.7960715724729721,0.03548009671016542,0.003986432406408454
73,2020-03-14,-17017.09309496312,8.949809026685557,9.036410608419601,9.218553651477771,8.854919820463742,2020-03-14 06:00:00,2020-03-14 06:30:00,8.908290238187051,8.987088266101653,9.12329585381868,8.850880678384625,2020-03-14 08:30:00,2020-03-14 07:00:00,0.0047899822671602045,0.18606037488306149,0.0552829084884869,0.0062453417675957705
74,2020-03-15,-17006.890679352564,8.97973026518337,8.982830566201425,9.162603047865467,8.803058084537383,2020-03-15 06:30:00,2020-03-15 06:30:00,8.818757458763383,8.895486656283767,9.040920099686335,8.789860127717647,2020-03-15 08:30:00,2020-03-15 08:30:00,0.00389432120153005,0.5181213771301091,0.05004098687338391,0.0056952027500544325
75,2020-03-16,-17039.97859092864,9.045121329864806,8.984748647888583,9.155766274797372,8.813731020979795,2020-03-16 06:30:00,2020-03-16 06:30:00,8.997654448560807,8.865193897162822,9.00616267594944,8.777322651104031,2020-03-16 07:30:00,2020-03-16 08:30:00,0.005800836186773252,0.470015815882027,0.06853500597832718,0.007682822328636755
76,2020-03-17,-17059.427557908337,9.043053623885344,9.028710390233883,9.199804493117574,8.857616287350192,2020-03-17 06:30:00,2020-03-17 06:30:00,8.998269046707794,8.967357717799809,9.10207554954551,8.866424843958695,2020-03-17 07:00:00,2020-03-17 07:30:00,0.00023373036660710795,0.9710144826397775,0.012467079010620089,0.001399220968813662
77,2020-03-18,-17064.730564685622,9.04780967770332,9.02255314120963,9.19263738483186,8.852468897587398,2020-03-18 05:30:00,2020-03-18 06:30:00,8.986300168789805,8.949982372762078,9.084023103548072,8.85804761125331,2020-03-18 07:00:00,2020-03-18 07:30:00,0.0007598460819449931,0.9060588342043443,0.022838780958793065,0.002565589954122267
78,2020-03-19,-17065.22764743816,9.163264487589164,9.036411262542716,9.206749640692367,8.866072884393065,2020-03-19 05:30:00,2020-03-19 06:30:00,8.97755675417184,8.960973444703537,9.09244142553233,8.848091292164394,2020-03-19 07:00:00,2020-03-19 07:00:00,0.006081202389771899,0.6286520383100271,0.05769554480400082,0.006389876298315371
79,2020-03-20,-17095.390452166543,9.2328569602053,9.094007728412805,9.261904891065688,8.926110565759922,2020-03-20 04:30:00,2020-03-20 05:30:00,8.9801294052119,8.993708356104207,9.123712040041699,8.863704672166715,2020-03-20 12:00:00,2020-03-20 07:00:00,0.007361800558954295,0.6709514072060898,0.06319693460504479,0.00695273404975424
80,2020-03-21,-17130.669191810204,9.003595376361346,9.138445215726392,9.307890849214942,8.968999582237842,2020-03-21 06:30:00,2020-03-21 05:30:00,8.892607256152068,8.988419654710144,9.119727496744902,8.874719164699014,2020-03-21 00:00:00,2020-03-21 07:00:00,0.011980802639518692,-1.1326028956541143,0.09443708239806022,0.01064118089004696
81,2020-03-22,-17108.30334636688,9.022682200752326,9.047831826238424,9.218888908502645,8.876774743974202,2020-03-22 05:30:00,2020-03-22 05:30:00,8.812316509002567,8.867485800104404,9.003169845090747,8.790173157038167,2020-03-22 00:00:00,2020-03-22 07:30:00,0.0026352608233416405,0.7542824492620427,0.044695736396908714,0.005077427943308827
82,2020-03-23,-17126.362396473818,9.014954244112987,9.065546104868995,9.235929684613524,8.895162525124466,2020-03-23 05:30:00,2020-03-23 05:30:00,8.975073630859663,8.841502760858534,8.982549971174215,8.785560429392696,2020-03-23 07:30:00,2020-03-23 08:30:00,0.004884450439268844,0.4710276758835362,0.056509324434068677,0.006336724661599229
