,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
161,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-10,30493.95575786605,10755.09,10402.162552481743,11521.01307168368,9283.312033279806,2020-06-10 05:30:00,2020-06-10 05:30:00,9576.2,9140.067979493811,9917.59281770375,8362.543141283873,2020-06-10 08:30:00,2020-06-10 08:30:00,216622.5925308722,0.8176442386803524,366.27225322278633,0.04162712801751244
162,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-11,30703.85193183876,10366.66,10620.97441436194,11898.285229971716,9343.663598752162,2020-06-11 06:00:00,2020-06-11 05:30:00,9372.92,9322.63960779344,10209.162785896486,8436.116429690395,2020-06-11 08:00:00,2020-06-11 08:30:00,47069.65980929715,0.9530665109271447,192.56932408869133,0.0226057225363115
163,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-12,30552.85752446664,10462.02,10480.836260700293,11605.292797207663,9356.379724192922,2020-06-12 05:30:00,2020-06-12 05:30:00,9530.2,9184.708635518531,9966.011033343086,8403.406237693976,2020-06-12 08:30:00,2020-06-12 08:30:00,87325.57244706855,0.9126546043349928,244.99765407962218,0.0289262829354011
164,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-13,30506.303546797844,9499.67,10635.862217946902,11764.36347067959,9507.360965214215,2020-06-13 05:30:00,2020-06-13 05:30:00,8347.48,9455.997231609152,10239.983070741526,8672.011392476777,2020-06-13 00:00:00,2020-06-13 08:30:00,821705.9943598259,-0.27980073515746073,828.8121012385265,0.10601412693828398
165,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-14,30548.556356388177,9596.16,9683.478045604345,10821.926102753672,8545.029988455017,2020-06-14 06:00:00,2020-06-14 05:30:00,7920.21,8613.260859513197,9405.464017447344,7821.0577015790495,2020-06-14 10:00:00,2020-06-14 08:30:00,188112.52002207306,0.8345490925699204,290.2241912085595,0.04087156097743954
166,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-15,30623.705480098306,10568.08,9579.356355104886,10755.773091137242,8417.195560274393,2020-06-15 05:30:00,2020-06-15 05:30:00,9770.87,8248.310471206554,9056.697362471343,7501.824291666842,2020-06-15 08:00:00,2020-06-15 08:30:00,648939.3478635248,0.5558613743987371,704.4032883641103,0.08187131866436133
167,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-16,30661.43036370452,10389.26,10223.44119022671,11419.433095051947,9041.722216301245,2020-06-16 06:00:00,2020-06-16 06:00:00,9737.26,8900.163204259145,9721.242287403342,8079.084121114947,2020-06-16 08:00:00,2020-06-16 08:30:00,73968.41135049338,0.9380244891258519,152.86009452487474,0.0172781392723499
168,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-17,30743.96798373346,11113.26,10308.508253618671,11508.258864014397,9108.757643222945,2020-06-17 05:30:00,2020-06-17 05:30:00,9935.2,9103.348376287027,9937.056842213582,8269.639910360473,2020-06-17 08:00:00,2020-06-17 08:30:00,382730.5584396326,0.7287136413311344,539.5902195788706,0.05866724220298911
169,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-18,30693.212987347895,10755.29,10730.831870778886,11931.329355988788,9533.086288214956,2020-06-18 06:00:00,2020-06-18 05:30:00,9621.32,9439.647087840225,10273.942638327973,8605.351537352477,2020-06-18 08:00:00,2020-06-18 08:30:00,31795.967856408475,0.9761832182348303,151.7997656696626,0.018447137968531924
170,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-19,30700.004934402332,10301.93,10626.211482189574,11838.384728097612,9414.038236281536,2020-06-19 05:30:00,2020-06-19 06:00:00,10080.42,9481.515487503493,10314.751490366025,8648.279484640962,2020-06-19 08:00:00,2020-06-19 08:30:00,62266.45560465633,0.9402057397735101,190.27563184627573,0.021104012134972077
