,eval_date,aic,peak_actual,peak_predicted,time_of_peak_actual,time_of_peak_predicted,mse,r2,mae,mape
111,2020-06-17,-17619.31764539951,9.315984247483815,9.239989029748914,2020-06-17 18:00:00,2020-06-17 18:00:00,0.005545511415398124,0.7094983049278405,0.06510862417646597,0.007144427181785065
112,2020-06-18,-17636.406108789,9.283245978721093,9.288968844670848,2020-06-18 18:30:00,2020-06-18 18:00:00,0.0005756012930099932,0.9689954797164773,0.021365846255778642,0.0023655623417626367
113,2020-06-19,-17668.63574011586,9.240183599784357,9.278913215253635,2020-06-19 18:00:00,2020-06-19 18:30:00,0.0008746138804795245,0.9400268142201644,0.025505998823101266,0.00281806061841096
114,2020-06-20,-17698.61684117688,9.176288119290502,9.241440354017113,2020-06-20 18:00:00,2020-06-20 18:00:00,0.004691098028555161,0.6416166764812222,0.059640076870944636,0.0066554550356741305
115,2020-06-21,-17688.982938432993,9.233468835093047,9.203680168092777,2020-06-21 18:30:00,2020-06-21 18:30:00,0.0015872401069930628,0.9227421479576251,0.03035507633350772,0.0033860165956335533
116,2020-06-22,-17657.22122755716,9.374690573671012,9.240917870051781,2020-06-22 18:30:00,2020-06-22 18:30:00,0.010361573298317986,0.6463716715292185,0.09048594399246117,0.009884635733196225
117,2020-06-23,-17631.506929911287,9.391084017856569,9.303631523246452,2020-06-23 18:30:00,2020-06-23 18:30:00,0.004322785319093975,0.8152497497371826,0.05902671156442222,0.006434187868648828
118,2020-06-24,-17636.82188180939,9.340945737956954,9.366953958658932,2020-06-24 18:00:00,2020-06-24 18:30:00,0.0006328415612776027,0.9660245124753424,0.021701282910847757,0.0023712207969614845
119,2020-06-25,-17641.111336084017,9.326707294306118,9.356932296741665,2020-06-25 18:30:00,2020-06-25 18:30:00,0.0009518286454495434,0.9519620160139616,0.025037645423998445,0.0027495909126574046
120,2020-06-26,-17718.974496522213,9.30710767148396,9.339199190082558,2020-06-26 18:00:00,2020-06-26 18:00:00,0.00044721795188962054,0.9759990684597849,0.017028932891386295,0.001876306880446493
121,2020-06-27,-17728.04888699679,9.27351045723232,9.299429389566765,2020-06-27 18:30:00,2020-06-27 18:00:00,0.0025493031794638424,0.8264711079083802,0.03264034898046897,0.0036091921672408486
122,2020-06-28,-17731.66761935121,9.30221009473509,9.293427919396867,2020-06-28 18:30:00,2020-06-28 18:30:00,0.0020868695903351205,0.9020206311007799,0.03597785518881665,0.0040123735034848645
123,2020-06-29,-17734.51425921559,9.356758374423784,9.342910451233886,2020-06-29 18:00:00,2020-06-29 18:30:00,0.0015594380388531844,0.9347893021772201,0.03147906714830373,0.0034617247113440702
124,2020-06-30,-17722.403612613845,9.338532159247464,9.350184895408479,2020-06-30 18:30:00,2020-06-30 18:30:00,0.0011886075147115724,0.9408682054233715,0.027524001933651305,0.0030271984108544577
125,2020-07-01,-17706.533464941167,9.283663321794771,9.315657870533443,2020-07-01 18:30:00,2020-07-01 18:00:00,0.0009010223496493082,0.950746891794257,0.024045147719745568,0.0026527435630624443
126,2020-07-02,-17707.64722772815,9.221120061786412,9.286381251872577,2020-07-02 18:30:00,2020-07-02 18:30:00,0.001644443611530734,0.8889472985913199,0.035720406994416955,0.003941486519448732
127,2020-07-03,-17722.42661473906,9.264078275869549,9.255974294115942,2020-07-03 18:30:00,2020-07-03 18:30:00,0.00037245807771918465,0.9804433635996914,0.014355733377174293,0.0015835300668156083
128,2020-07-04,-17732.264442813044,9.270502769336291,9.251382522781523,2020-07-04 18:30:00,2020-07-04 18:30:00,0.0009723706864561687,0.9483873234313235,0.02567086117428974,0.0028506706541731835
129,2020-07-05,-17770.993832867054,9.281667051347036,9.268605178101124,2020-07-05 18:30:00,2020-07-05 18:30:00,0.0006379377522121309,0.9707828036758963,0.021210780241175915,0.0023662121780470917
130,2020-07-06,-17806.746997257615,9.34603579639395,9.299642479940317,2020-07-06 18:00:00,2020-07-06 18:30:00,0.005192743851485711,0.7719464489442074,0.0628296748276852,0.006897972132529647
131,2020-07-07,-17795.240019113735,9.34538948727675,9.314467010047824,2020-07-07 18:30:00,2020-07-07 18:30:00,0.002257146393854739,0.8698788080284772,0.0359603466285674,0.003950066925973925
132,2020-07-08,-17806.799687286955,9.336780933977069,9.309586494341712,2020-07-08 18:00:00,2020-07-08 18:30:00,0.002743058141036521,0.8405007794457414,0.039943164107661966,0.004387410022901637
133,2020-07-09,-17798.7008339959,9.317546782920559,9.30865644001809,2020-07-09 18:30:00,2020-07-09 18:30:00,0.0003589759502714451,0.978139025202088,0.01637416669755058,0.001801141378945473
134,2020-07-10,-17794.35569938836,9.28658541610688,9.330281090483965,2020-07-10 18:00:00,2020-07-10 18:00:00,0.0009333806972783064,0.9355023034904684,0.026234095137120977,0.0028750497920655206
135,2020-07-11,-17839.879754080524,9.230479217254565,9.31256804332045,2020-07-11 18:00:00,2020-07-11 18:00:00,0.004068456755337804,0.7102557506229061,0.05296287519894142,0.005852735369475366
