,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
200,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-19,30286.69667700407,10120.36,10688.031571420317,11785.384897652943,9590.678245187692,2020-07-19 06:00:00,2020-07-19 06:00:00,8276.47,8983.687246565765,10022.008184252514,8236.966550559664,2020-07-19 00:00:00,2020-07-19 08:30:00,387780.9516709444,0.6612967000749059,578.103485588088,0.07528431794453606
201,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-20,30265.36299749283,11222.65,10828.37271105207,11944.611839633735,9712.133582470406,2020-07-20 06:30:00,2020-07-20 06:00:00,9649.23,9126.020912823442,10176.525821711855,8075.5160039350285,2020-07-20 08:00:00,2020-07-20 08:30:00,125673.96652458096,0.9375734330609051,294.1564890489993,0.03384274403790798
202,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-21,30297.507391487477,11739.02,11181.002469908737,12293.226237363864,10068.77870245361,2020-07-21 06:00:00,2020-07-21 06:00:00,10841.59,9644.966936624958,10695.047350999945,8594.886522249972,2020-07-21 08:00:00,2020-07-21 08:30:00,224176.09921059958,0.8756368803901757,337.92409367051044,0.03479049891823675
203,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-22,30333.214457845355,11412.82,11235.716893852223,12364.544067106419,10106.889720598027,2020-07-22 06:00:00,2020-07-22 06:00:00,10726.52,10001.770206937916,11062.60497019955,8940.93544367628,2020-07-22 08:00:00,2020-07-22 08:00:00,158400.6653833236,0.8969646091455113,301.92240415073496,0.03261826883260665
204,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-23,30340.860719904205,11276.89,11260.510834822664,12380.36092356392,10140.660746081408,2020-07-23 06:00:00,2020-07-23 06:30:00,10792.65,10268.499332030246,11325.137088311376,9211.861575749115,2020-07-23 08:00:00,2020-07-23 08:00:00,61246.18989133526,0.9601034806795199,179.19324152100077,0.01972709247009326
205,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-24,30334.26096409922,10762.03,11288.776917585928,12399.603914471389,10177.949920700468,2020-07-24 06:00:00,2020-07-24 06:00:00,10838.44,10685.27640327724,11738.201895844682,9632.350910709796,2020-07-24 08:30:00,2020-07-24 08:00:00,69192.38069238633,0.9458024410839629,211.59187890557735,0.02311571894134301
206,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-25,30337.177114803908,10350.39,10539.514962372661,11598.187106332269,9480.842818413053,2020-07-25 05:30:00,2020-07-25 06:00:00,9381.75,10157.468161595752,11166.323978870703,9148.612344320802,2020-07-25 09:30:00,2020-07-25 08:00:00,338701.31142768177,0.6092301034011279,460.78212519093677,0.05398885970108434
207,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-26,30470.39572295678,10722.49,10365.29673124873,11440.71742372976,9289.876038767701,2020-07-26 06:00:00,2020-07-26 06:00:00,9288.62,9503.183284498169,10541.886684771249,8464.47988422509,2020-07-26 12:00:00,2020-07-26 08:30:00,832707.0699379869,0.563056434294652,699.7603031642642,0.08237003893024185
208,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-27,30509.05580783681,11551.78,10976.24718752889,11841.071223325936,10111.423151731844,2020-07-27 05:30:00,2020-07-27 06:00:00,9657.55,9495.657521831228,10338.74991431606,8652.565129346396,2020-07-27 09:00:00,2020-07-27 08:30:00,232257.16209780265,0.8859241909100191,350.4561808053606,0.03620510228668264
209,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-28,30491.221364279187,10780.31,11247.147303549002,12127.870472581393,10366.42413451661,2020-07-28 06:00:00,2020-07-28 06:00:00,9792.5,9926.708003841353,10784.167848585585,9069.248159097122,2020-07-28 08:30:00,2020-07-28 08:30:00,104299.87024210226,0.9112097352914016,254.55387878616952,0.02797722300224886
