,rainfall,pv_capacity,solar_power,peak_demand,date,prev_demand_min,prev_demand_max,prev_demand_mean,prev_demand_std,prev_temp_min,prev_temp_max,prev_temp_mean,prev_temp_std,max_temp,min_temp,prev_solar_min,prev_solar_max,prev_solar_mean,prev_solar_std,prev_peak_time
2266,9.0,330267,0.0,9265.79,2016-03-16,6342.17,9342.42,8306.282916666667,1048.6900312739883,19.6,24.9,22.104166666666668,1.4142072936820647,24.9,19.4,0.0,411.7,112.14375,143.67898564678606,16:30:00
2267,5.4,330267,0.0,9428.71,2016-03-17,6172.18,9265.79,8193.993541666667,1032.2060728372435,19.4,24.9,21.789583333333336,1.8605923997518068,25.8,18.5,0.0,745.42,171.93625,234.251520201021,16:30:00
2268,0.2,330267,196.07,9152.8,2016-03-18,6261.82,9428.71,8267.367083333333,1046.332197983028,18.5,25.8,21.59583333333333,2.4057518250999297,27.3,17.1,0.0,612.6,183.4645833333333,236.02475210495544,17:00:00
2269,0.2,330267,615.315,7688.97,2016-03-19,6284.16,9152.8,8054.904791666667,947.2843930336143,17.1,27.3,21.008333333333333,3.1916002344807524,21.9,13.8,0.0,461.98,117.16000000000001,142.44654348957602,11:00:00
2270,0.0,330267,0.0,7735.28,2016-03-20,5881.57,7688.97,7029.318958333333,535.022770699507,13.8,21.9,18.908333333333335,2.1847472548045186,21.6,15.4,0.0,858.65,242.1925,309.32568439010083,08:30:00
2271,6.2,330267,0.0,8430.23,2016-03-21,5663.23,7735.28,6847.361250000001,609.6573663485789,15.4,21.6,17.60625,1.6615048613396592,20.8,15.3,0.0,536.85,146.11416666666665,191.59054265662746,19:00:00
2272,0.4,330267,0.0,8517.17,2016-03-22,5817.73,8430.23,7656.508958333333,898.2132010908023,15.3,20.8,16.84375,1.4467728210554271,22.3,14.1,0.0,602.38,166.22625,219.85278293280228,17:00:00
2273,0.0,330267,0.0,8583.86,2016-03-23,6038.58,8517.17,7733.192291666666,783.1394845658886,14.1,22.3,17.989583333333332,2.6813175217572165,25.2,13.9,0.0,680.92,191.87749999999997,251.5452407958085,19:00:00
2274,0.0,330267,0.0,8793.67,2016-03-24,5734.52,8583.86,7749.655,801.9975549652336,13.9,25.2,18.927083333333332,3.7659018632953822,28.3,13.7,0.0,854.58,251.2725,323.4775599109734,19:00:00
2275,0.0,330267,0.0,7543.38,2016-03-25,6133.42,8793.67,7860.124583333333,863.2687320233393,13.7,28.3,20.870833333333334,4.798047401313188,24.9,15.9,0.0,841.35,244.52958333333333,318.8437557481876,16:00:00
2276,0.0,330267,0.0,7767.3,2016-03-26,5741.65,7543.38,6819.450416666667,539.8981315654901,15.9,24.9,20.172916666666666,2.6098617867809204,26.1,15.6,0.0,370.98,104.53791666666666,129.42977123831062,19:00:00
2277,0.0,330267,0.0,7476.95,2016-03-27,5627.48,7767.3,6853.341874999999,631.6034567826664,15.6,26.1,20.83125,3.383134405289765,24.5,15.8,0.0,743.45,216.05208333333334,282.40965783624404,19:00:00
2278,0.0,330267,0.0,8149.61,2016-03-28,5557.74,7476.95,6669.442083333332,565.0469496929162,15.8,24.5,20.672916666666666,2.7668816138838026,25.1,18.0,0.0,602.8,174.01958333333334,229.34422662914488,19:00:00
2279,0.0,330267,186.27,8839.14,2016-03-29,5502.48,8149.61,6978.634791666666,822.617653099814,18.0,25.1,21.412499999999998,1.6657532958254024,22.5,19.2,0.0,613.05,169.83041666666665,223.7663889679091,18:30:00
2280,4.4,330267,0.0,8580.38,2016-03-30,5813.38,8839.14,7877.511458333333,1044.223655378013,19.2,22.5,20.527083333333334,0.806552839105724,27.0,15.8,0.0,441.4,103.70291666666667,139.58364985271618,10:00:00
2281,0.0,330267,0.0,8673.24,2016-03-31,5955.26,8580.38,7798.424166666667,898.4958360713694,15.8,27.0,21.2625,3.581965762455618,23.8,13.9,0.0,771.3,193.53541666666663,267.3643840060397,18:30:00
2282,0.0,332652,0.0,8694.68,2016-04-01,5957.46,8673.24,7716.924375,836.3367456822181,13.9,23.8,18.816666666666666,3.37640960844084,26.5,13.7,0.0,710.92,208.21541666666667,268.95163245823653,18:30:00
2283,0.0,332652,0.0,8256.34,2016-04-02,6001.68,8694.68,7766.81125,854.3782985072282,13.7,26.5,20.308333333333334,4.370492612253093,30.6,15.2,0.0,807.17,231.61791666666667,304.1529867147161,16:30:00
2284,0.0,332652,0.0,8361.56,2016-04-03,5800.42,8256.34,7187.309791666667,717.8288829178025,15.2,30.6,21.849999999999998,5.122374781705779,24.2,19.0,0.0,812.75,237.10875,309.75766720457665,18:30:00
2285,3.8,332652,0.0,9232.02,2016-04-04,5662.85,8361.56,6983.222708333334,775.7506423739344,19.0,24.2,21.208333333333332,1.3673757025984985,22.6,18.4,0.0,626.12,173.30583333333334,227.94327994867245,18:30:00
