,rainfall,solar_exposure,min_temperature,max_temperature,peak_power
2010-07-19,0.0,6.2,5.0,15.5,12507.58
2010-07-20,1.0,11.4,5.7,16.2,12408.64
2010-07-21,2.0,10.8,4.0,15.0,12612.76
2010-07-22,0.0,9.8,5.1,14.8,12616.29
2010-07-23,0.0,8.2,6.1,17.8,11616.84
2010-07-24,0.4,11.5,7.8,17.1,10890.82
2010-07-25,0.2,7.5,8.7,16.5,11197.84
2010-07-26,6.2,8.1,8.1,15.9,12141.07
2010-07-27,0.0,9.0,5.5,16.9,11931.4
2010-07-28,3.6,2.7,9.8,14.7,12155.64
2010-07-29,21.2,3.2,10.5,16.2,11835.47
2010-07-30,4.2,9.4,11.5,20.9,10719.16
2010-07-31,2.1,10.0,10.7,20.6,9962.35
2010-08-01,0.0,12.9,4.8,20.3,10440.03
2010-08-02,0.0,10.3,4.9,14.9,12508.11
2010-08-03,9.0,10.4,9.4,16.9,11991.47
2010-08-04,0.0,13.2,6.5,18.1,11436.13
2010-08-05,0.0,12.9,3.1,14.4,11874.27
2010-08-06,0.0,13.2,3.9,15.9,11744.88
2010-08-07,0.0,12.1,5.3,15.3,11090.3
2010-08-08,0.0,14.1,4.0,17.4,11285.87
2010-08-09,0.0,14.1,3.3,18.1,11718.84
2010-08-10,4.2,2.5,6.7,13.7,12033.49
2010-08-11,5.8,12.3,8.8,17.5,11699.05
2010-08-12,0.0,11.6,10.3,16.4,12022.09
2010-08-13,0.0,14.6,5.7,17.6,10979.31
2010-08-14,0.0,15.2,4.5,20.6,10155.38
2010-08-15,0.0,13.3,11.7,19.5,10235.38
2010-08-16,0.8,15.1,8.8,18.3,11318.06
2010-08-17,0.0,16.0,4.4,17.1,11679.46
2010-08-18,0.0,13.0,2.8,18.9,11122.4
2010-08-19,5.0,15.2,11.6,24.3,10337.06
2010-08-20,0.0,16.5,5.3,18.4,10509.95
2010-08-21,0.0,15.6,6.1,16.3,10286.54
2010-08-22,0.0,15.9,5.1,17.6,10581.45
2010-08-23,0.0,6.2,10.1,15.1,11866.99
2010-08-24,0.0,16.3,7.5,19.1,11188.88
2010-08-25,0.0,17.1,6.9,16.9,11350.87
2010-08-26,0.0,13.5,9.2,16.6,11600.83
2010-08-27,0.0,14.7,8.8,18.8,10884.5
2010-08-28,0.0,17.6,5.0,15.8,10411.14
2010-08-29,0.0,17.1,5.3,18.1,10361.43
2010-08-30,0.0,15.5,7.3,17.7,11058.49
2010-08-31,0.0,17.9,8.8,21.2,10488.34
2010-09-01,0.0,9.4,9.9,25.1,10077.42
2010-09-02,0.4,5.4,13.7,17.8,10450.95
2010-09-03,4.2,4.8,13.0,16.9,10453.49
2010-09-04,16.4,3.0,13.8,20.6,9475.45
2010-09-05,0.4,18.6,13.4,20.6,9047.43
2010-09-06,0.0,15.1,7.6,19.5,10527.06
2010-09-07,0.0,14.7,6.1,15.7,10922.04
2010-09-08,0.0,18.9,5.4,16.5,10597.7
2010-09-09,0.0,8.1,6.2,18.4,11064.42
2010-09-10,4.4,10.0,9.4,22.6,10165.82
2010-09-11,0.2,19.8,6.1,18.8,9414.24
2010-09-12,0.0,18.9,5.4,19.7,9477.37
2010-09-13,0.0,15.8,11.5,23.3,10106.81
2010-09-14,0.0,3.8,10.5,17.6,10803.01
2010-09-15,18.8,18.1,10.9,21.8,10075.24
2010-09-16,0.0,19.7,8.2,20.9,10383.77
2010-09-17,0.0,21.3,7.8,19.4,10057.43
2010-09-18,0.0,21.3,4.9,21.8,9196.06
2010-09-19,0.0,15.2,7.5,18.2,9545.1
2010-09-20,0.0,17.7,8.7,19.3,10301.94
2010-09-21,0.4,21.0,8.7,22.4,10028.83
2010-09-22,0.0,18.6,12.6,20.6,9885.72
2010-09-23,0.0,12.8,12.6,18.2,10092.58
2010-09-24,0.0,22.1,9.7,23.4,9453.68
2010-09-25,0.0,20.6,10.0,25.5,8667.04
2010-09-26,0.0,22.4,8.1,23.7,8722.85
2010-09-27,0.0,14.8,9.4,27.0,9538.07
2010-09-28,0.2,23.1,8.2,25.6,9532.75
2010-09-29,0.0,18.7,9.3,16.5,10000.17
2010-09-30,0.0,24.0,5.1,17.6,10167.92
2010-10-01,0.0,10.2,6.2,18.0,9699.14
2010-10-02,0.0,9.4,12.1,19.4,8982.51
2010-10-03,15.4,11.4,14.1,19.4,8426.31
2010-10-04,16.8,13.3,14.5,20.6,8660.63
2010-10-05,4.0,16.6,14.5,22.9,9437.05
2010-10-06,0.0,7.7,14.6,21.9,9497.1
2010-10-07,0.2,9.1,13.6,21.9,9350.7
2010-10-08,0.0,20.5,11.1,19.5,9455.31
2010-10-09,0.0,6.2,13.6,17.9,8709.7
2010-10-10,0.6,20.0,13.4,20.2,8645.01
2010-10-11,1.0,17.3,13.2,20.6,9572.73
2010-10-12,1.2,16.3,15.2,21.9,9513.18
2010-10-13,0.0,13.4,13.2,26.2,9497.65
2010-10-14,2.0,20.8,17.7,26.7,9693.22
2010-10-15,0.0,5.5,16.5,25.4,9707.93
2010-10-16,0.6,24.5,10.7,16.8,8917.54
2010-10-17,0.0,26.0,8.1,22.5,8643.61
2010-10-18,0.0,27.2,9.3,23.8,9312.96
2010-10-19,4.6,8.6,10.2,16.4,9590.02
2010-10-20,0.0,26.8,9.7,20.6,9257.11
2010-10-21,0.0,25.4,9.8,21.9,9308.17
2010-10-22,0.0,24.0,11.5,23.7,9467.29
2010-10-23,0.0,18.2,11.9,28.0,8639.07
2010-10-24,7.6,3.7,13.0,16.2,8860.55
2010-10-25,11.2,13.6,10.8,18.5,9531.98
2010-10-26,0.0,26.4,7.9,25.0,9331.8
2010-10-27,0.0,21.1,9.7,21.2,9419.44
2010-10-28,4.2,16.4,12.9,19.3,9380.73
2010-10-29,0.0,11.0,10.7,19.7,9482.31
2010-10-30,0.0,25.0,12.4,25.4,8820.41
2010-10-31,0.0,16.5,18.2,25.9,8539.54
2010-11-01,0.0,7.9,14.3,20.0,9559.92
2010-11-02,45.4,11.9,9.6,17.4,9432.07
2010-11-03,0.0,25.9,7.9,22.5,9088.94
2010-11-04,0.4,14.6,13.1,17.8,9277.25
2010-11-05,9.8,16.3,12.4,17.0,9303.26
2010-11-06,4.2,13.8,13.2,17.0,8842.97
2010-11-07,2.6,28.1,10.4,21.1,8390.47
2010-11-08,0.0,19.2,13.0,27.9,9700.59
2010-11-09,22.4,21.0,16.1,23.0,9535.21
2010-11-10,0.0,20.3,16.3,28.0,9980.1
2010-11-11,2.6,26.0,18.3,26.4,10086.74
2010-11-12,0.2,29.8,15.2,28.4,10688.15
2010-11-13,0.0,23.8,16.2,31.4,9678.17
2010-11-14,0.0,21.9,20.6,31.3,9581.36
2010-11-15,0.0,3.1,17.8,22.8,10320.01
2010-11-16,20.0,23.8,16.4,21.0,9599.31
2010-11-17,0.0,16.1,15.3,20.7,9441.06
2010-11-18,0.0,24.5,13.4,24.6,9509.79
2010-11-19,0.0,7.7,15.8,19.2,9341.68
2010-11-20,0.0,31.3,10.2,22.0,8544.23
2010-11-21,0.0,31.0,11.7,23.2,8140.54
2010-11-22,0.0,26.4,13.3,24.0,9766.75
2010-11-23,0.0,29.1,13.8,25.2,9880.44
2010-11-24,0.0,31.7,14.3,25.1,10228.02
2010-11-25,0.0,31.1,16.1,27.3,10694.56
2010-11-26,0.0,24.8,16.3,27.3,10451.54
2010-11-27,0.0,25.8,15.8,27.3,9268.29
2010-11-28,0.0,4.6,18.1,24.6,8375.56
2010-11-29,6.4,6.8,16.9,21.3,9557.18
2010-11-30,9.8,8.9,16.6,21.7,9524.75
2010-12-01,16.6,5.4,17.6,21.3,9693.99
2010-12-02,15.8,12.8,18.3,24.3,9730.46
2010-12-03,1.4,18.8,19.4,25.3,10123.17
2010-12-04,0.2,12.5,18.7,24.6,8992.48
2010-12-05,0.4,19.2,18.4,25.6,8617.11
2010-12-06,0.0,24.5,18.5,26.4,10352.2
2010-12-07,3.0,27.9,19.5,26.4,10403.75
2010-12-08,0.0,29.5,18.7,28.0,11047.46
2010-12-09,0.6,12.4,21.4,31.4,11358.58
2010-12-10,1.4,16.4,18.8,28.9,10463.79
2010-12-11,0.4,32.2,13.8,29.0,8841.9
2010-12-12,0.0,32.7,14.6,30.8,8886.59
2010-12-13,0.0,31.9,16.9,23.9,10425.31
